,Actual Mixture,Fructose,HMF,Levulinic Acid,Formic Acid,Sum
Wavenumber,Concentration,0.307580453,0.302069316,0.308846359,0.307275599,
850.4673,-6.49E-04,-5.58E-04,1.28E-04,5.14E-04,-2.48E-04,-1.646200E-04
852.3958,-1.27E-04,-4.75E-04,-5.78E-06,6.56E-04,-6.55E-04,-4.804693E-04
854.3243,-4.56E-05,-2.06E-04,-1.28E-04,8.54E-04,-7.08E-04,-1.874599E-04
856.2528,-4.28E-04,-5.34E-05,-6.14E-04,8.47E-04,-6.16E-04,-4.362765E-04
858.1813,-6.66E-04,2.55E-04,-4.86E-04,3.84E-04,-4.42E-04,-2.884535E-04
860.1098,-2.73E-04,6.93E-04,5.34E-04,-4.70E-04,-3.13E-04,4.440873E-04
862.0383,3.21E-04,8.76E-04,2.81E-04,-1.88E-04,-1.87E-04,7.827065E-04
863.9668,6.95E-04,7.07E-04,1.97E-04,4.51E-04,2.64E-05,1.381942E-03
865.8953,5.22E-04,5.41E-04,5.62E-04,9.40E-04,4.46E-04,2.488915E-03
867.8238,3.63E-04,2.22E-04,5.38E-04,6.20E-04,7.58E-04,2.139016E-03
869.7523,5.52E-04,8.38E-04,3.66E-04,3.46E-04,-4.39E-05,1.506635E-03
871.6808,3.61E-04,1.38E-03,-1.24E-04,2.43E-04,-3.00E-04,1.197284E-03
873.6093,1.42E-04,1.05E-03,-1.19E-04,9.17E-06,1.79E-04,1.117313E-03
875.5378,-1.03E-04,1.38E-04,4.77E-04,4.28E-05,1.97E-04,8.548174E-04
877.4662,1.30E-04,-8.17E-04,1.02E-03,-2.87E-04,-3.44E-04,-4.246337E-04
879.3948,-3.33E-05,-9.12E-04,5.00E-04,-1.85E-04,-1.62E-04,-7.591917E-04
881.3232,-3.30E-04,-3.38E-04,1.48E-04,-1.92E-05,-6.85E-05,-2.780014E-04
883.2518,-6.16E-05,-6.17E-05,2.96E-04,-8.54E-05,-1.12E-04,3.755388E-05
885.1802,3.72E-05,-2.19E-04,2.69E-04,-1.30E-04,-2.55E-04,-3.344954E-04
887.1088,-1.36E-04,2.65E-04,1.27E-04,4.20E-04,-2.33E-04,5.798019E-04
889.0372,-2.69E-04,7.79E-04,4.01E-04,5.47E-04,-3.07E-05,1.696012E-03
890.9658,-4.26E-04,1.60E-04,4.12E-04,6.62E-04,-9.27E-05,1.141766E-03
892.8942,-4.96E-04,-1.34E-04,2.62E-04,7.20E-04,-7.15E-05,7.765905E-04
894.8227,-4.44E-05,3.89E-06,3.60E-04,5.92E-04,-7.57E-05,8.807676E-04
896.7512,5.20E-04,-4.09E-04,1.28E-04,9.03E-04,3.19E-04,9.416375E-04
898.6797,3.73E-04,-7.26E-04,-4.15E-04,9.42E-04,3.83E-04,1.848805E-04
900.6082,4.05E-04,-3.77E-04,-4.33E-04,7.13E-04,0.00E+00,-9.570160E-05
902.5367,9.29E-04,4.44E-05,-3.76E-04,3.63E-04,-3.10E-05,2.632600E-07
